games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
5,2,2021,22:22,3.0,10.6,1.8,5.2,1.6,2.6,0.6,2.8,3.4,2.6,0.8,0.2,1.4,3.0,9.4,0.283,0.346,0.615,2,Jaylen,6.0,2.0,Adams,G,"{'id': 5, 'abbreviation': 'CHI', 'city': 'Chicago', 'conference': 'East', 'division': 'Central', 'full_name': 'Chicago Bulls', 'name': 'Bulls'}",190.0
31,3,2021,25:28,2.65,4.97,0.0,0.0,1.87,3.03,3.94,4.94,8.87,2.74,0.97,0.58,1.68,1.61,7.16,0.532,0.0,0.617,3,Steven,7.0,0.0,Adams,C,"{'id': 15, 'abbreviation': 'MEM', 'city': 'Memphis', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Memphis Grizzlies', 'name': 'Grizzlies'}",265.0
19,4,2021,31:54,6.95,13.21,0.0,0.05,4.58,6.11,2.68,7.21,9.89,3.0,1.11,0.32,2.89,3.16,18.47,0.526,0.0,0.75,4,Bam,6.0,10.0,Adebayo,C-F,"{'id': 16, 'abbreviation': 'MIA', 'city': 'Miami', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Miami Heat', 'name': 'Heat'}",255.0
5,5,2021,27:54,5.6,12.0,1.4,5.0,0.8,1.0,1.4,4.4,5.8,2.0,1.0,0.2,1.2,2.0,13.4,0.467,0.28,0.8,5,DeVaughn,,,Akoon-Purcell,G-F,"{'id': 1, 'abbreviation': 'ATL', 'city': 'Atlanta', 'conference': 'East', 'division': 'Southeast', 'full_name': 'Atlanta Hawks', 'name': 'Hawks'}",
25,6,2021,23:35,5.96,10.4,0.44,1.2,1.6,1.92,1.4,4.28,5.68,0.92,0.4,1.16,0.76,1.68,13.96,0.573,0.367,0.833,6,LaMarcus,6.0,11.0,Aldridge,F,"{'id': 3, 'abbreviation': 'BKN', 'city': 'Brooklyn', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Brooklyn Nets', 'name': 'Nets'}",260.0
31,8,2021,28:13,4.35,9.97,2.9,6.97,1.03,1.19,0.42,3.0,3.42,1.19,0.77,0.35,0.71,1.45,12.65,0.437,0.417,0.865,8,Grayson,6.0,5.0,Allen,G,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",198.0
28,9,2021,32:35,6.82,9.71,0.04,0.21,3.11,4.32,3.25,7.54,10.79,1.96,0.93,1.36,1.96,1.86,16.79,0.702,0.167,0.719,9,Jarrett,6.0,11.0,Allen,C,"{'id': 6, 'abbreviation': 'CLE', 'city': 'Cleveland', 'conference': 'East', 'division': 'Central', 'full_name': 'Cleveland Cavaliers', 'name': 'Cavaliers'}",237.0
1,10,2021,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Al-Farouq,6.0,9.0,Aminu,F,"{'id': 27, 'abbreviation': 'SAS', 'city': 'San Antonio', 'conference': 'West', 'division': 'Southwest', 'full_name': 'San Antonio Spurs', 'name': 'Spurs'}",220.0
4,11,2021,19:27,2.75,7.5,0.25,4.0,0.5,0.75,0.75,3.0,3.75,1.0,0.5,2.0,1.0,1.25,6.25,0.367,0.063,0.667,11,Justin,6.0,6.0,Anderson,G-F,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",230.0
27,12,2021,21:57,3.26,7.56,0.78,2.15,1.11,1.74,0.89,4.48,5.37,2.63,1.19,0.59,1.04,1.41,8.41,0.431,0.362,0.638,12,Kyle,6.0,9.0,Anderson,F,"{'id': 15, 'abbreviation': 'MEM', 'city': 'Memphis', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Memphis Grizzlies', 'name': 'Grizzlies'}",230.0
26,15,2021,32:38,9.54,18.0,1.08,3.85,6.88,10.12,2.04,9.54,11.58,5.81,1.12,1.58,3.31,3.04,27.04,0.53,0.28,0.681,15,Giannis,6.0,11.0,Antetokounmpo,F,"{'id': 17, 'abbreviation': 'MIL', 'city': 'Milwaukee', 'conference': 'East', 'division': 'Central', 'full_name': 'Milwaukee Bucks', 'name': 'Bucks'}",242.0
31,17,2021,27:39,4.52,10.65,2.45,6.06,1.97,2.39,0.74,3.29,4.03,0.97,0.74,0.68,0.81,2.26,13.45,0.424,0.404,0.824,17,Carmelo,,,Anthony,F,"{'id': 14, 'abbreviation': 'LAL', 'city': 'Los Angeles', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Los Angeles Lakers', 'name': 'Lakers'}",
17,18,2021,36:01,7.29,16.82,2.59,6.94,2.24,2.71,1.53,3.65,5.18,2.59,1.41,0.53,1.59,2.71,19.41,0.434,0.373,0.826,18,OG,6.0,8.0,Anunoby,F,"{'id': 28, 'abbreviation': 'TOR', 'city': 'Toronto', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Toronto Raptors', 'name': 'Raptors'}",232.0
1,19,2021,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Ryan,6.0,3.0,Arcidiacono,G,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",200.0
2,20,2021,7:37,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,20,Trevor,6.0,8.0,Ariza,F,"{'id': 14, 'abbreviation': 'LAL', 'city': 'Los Angeles', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Los Angeles Lakers', 'name': 'Lakers'}",215.0
