,id,name,type,date_of_birth,nationality,country_code,height,weight,jersey_number,gender,equipe,assists,blocks,field_goals,games_played,goals_conceded,goals_scored,red_cards,saves,seven_m_goals,steals,suspensions,technical_fouls,yellow_cards
0,sr:player:279913,"N'Guessan, Timothey",LB,1992-09-18,France,FRA,196.0,95.0,19,male,FC BARCELONE,9,1,35,11,0,35,0,0,0,1,2,5,0
1,sr:player:888314,"Dos Santos, Thiagus",LB,1989-01-25,Brazil,BRA,198.0,98.0,22,male,FC BARCELONE,8,13,5,19,0,5,0,0,0,20,4,1,3
2,sr:player:898198,"Arino Bengoechea, Aitor",LW,1992-10-05,Spain,ESP,187.0,80.0,13,male,FC BARCELONE,7,0,43,14,0,43,0,0,0,12,1,1,0
3,sr:player:898216,"Gomez Abello, Aleix",RW,1997-05-07,Spain,ESP,181.0,72.0,20,male,FC BARCELONE,5,0,56,19,0,94,0,0,38,9,0,1,1
4,sr:player:902906,"Fernandez, Angel",LW,1988-09-16,Spain,ESP,192.0,91.0,32,male,FC BARCELONE,4,0,25,10,0,27,0,0,2,1,0,3,0
5,sr:player:903576,"Mem, Dika",RB,1997-08-31,France,FRA,194.0,90.0,10,male,FC BARCELONE,27,1,92,19,0,92,0,0,0,11,4,11,4
6,sr:player:1290100,"Cindric, Luka",CB,1993-07-05,Croatia,HRV,182.0,90.0,25,male,FC BARCELONE,40,0,50,18,0,51,0,0,1,5,0,9,0
7,sr:player:1290254,"Fabregas, Ludovic",P,1996-07-01,France,FRA,198.0,103.0,72,male,FC BARCELONE,5,10,65,19,0,65,0,0,0,5,6,6,3
8,sr:player:1290972,"Makuc, Domen",CB,2000-07-01,Slovenia,SVN,188.0,82.0,35,male,FC BARCELONE,14,0,24,16,0,24,0,0,0,0,4,3,0
9,sr:player:1292968,"Janc, Blaz",RW,1996-11-20,Slovenia,SVN,185.0,85.0,18,male,FC BARCELONE,6,0,47,16,0,47,0,0,0,10,2,2,1
10,sr:player:1293830,"Perez de Vargas Moreno, Gonzalo",G,1991-01-10,Spain,ESP,190.0,93.0,1,male,FC BARCELONE,7,0,6,19,331,6,0,155,0,5,0,0,0
11,sr:player:1516061,"Frade, Luis",P,1998-09-11,Portugal,PRT,193.0,96.0,82,male,FC BARCELONE,5,2,30,17,0,30,0,0,0,2,3,3,3
12,sr:player:2052243,"Langaro, Haniel",LB,1995-03-07,Brazil,BRA,198.0,104.0,37,male,FC BARCELONE,6,0,32,12,0,32,0,0,0,5,2,8,0
13,sr:player:2062613,"Gonzales Perez, Jordi",G,1988-05-08,Spain,ESP,188.0,85.0,12,male,FC BARCELONE,0,0,0,1,3,0,0,2,0,0,0,0,0
14,sr:player:2122264,"Parera Ibanez, Artur",P,2002-08-28,Spain,ESP,185.0,75.0,33,male,FC BARCELONE,0,0,0,1,0,0,0,0,0,0,0,0,0
15,sr:player:124185,"Horak, Pavel",LB,1982-11-28,Czech republic,CZE,198.0,113.0,28,male,THW Kiel,1,4,4,17,0,4,1,0,0,3,3,0,3
16,sr:player:124630,"Duvnjak, Domagoj",CB,1988-06-01,Croatia,HRV,198.0,102.0,4,male,THW Kiel,33,2,50,17,0,50,0,0,0,7,3,5,2
17,sr:player:124865,"Quenstedt, Dario",G,1989-09-22,Germany,DEU,193.0,101.0,21,male,THW Kiel,2,0,2,16,220,2,0,87,0,0,0,1,0
18,sr:player:125206,"Weinhold, Steffen",RB,1986-07-19,Germany,DEU,191.0,100.0,13,male,THW Kiel,12,1,33,16,0,33,0,0,0,1,8,3,1
19,sr:player:125232,"Wiencek, Patrick",P,1989-03-22,Germany,DEU,200.0,117.0,17,male,THW Kiel,4,11,40,16,0,40,0,0,0,2,12,4,5
20,sr:player:176857,"Pekeler, Hendrik",P,1991-07-02,Germany,DEU,203.0,102.0,61,male,THW Kiel,5,12,41,16,0,41,0,0,0,0,10,5,3
21,sr:player:259939,"Landin Jacobsen, Niklas",G,1988-12-19,Denmark,DNK,201.0,102.0,1,male,THW Kiel,2,0,1,15,258,1,0,108,0,2,1,0,1
22,sr:player:261707,"Ekberg, Niclas",RW,1988-12-23,Sweden,SWE,191.0,91.0,18,male,THW Kiel,6,0,42,16,0,84,0,0,42,6,1,2,1
23,sr:player:345575,"Dahmke, Rune",LW,1993-04-10,Germany,DEU,189.0,85.0,23,male,THW Kiel,2,0,15,16,0,15,0,0,0,0,0,1,1
24,sr:player:604492,"Reinkind, Harald",RB,1992-08-17,Norway,NOR,197.0,100.0,6,male,THW Kiel,33,0,64,17,0,64,0,0,0,2,4,3,0
25,sr:player:1004021,"Sagosen, Sander",LB,1995-09-14,Norway,NOR,195.0,102.0,5,male,THW Kiel,47,5,74,15,0,74,1,0,0,5,8,2,1
26,sr:player:1259966,"Zarabec, Miha",CB,1991-10-12,Slovenia,SVN,178.0,79.0,24,male,THW Kiel,20,0,29,15,0,30,0,0,1,0,0,4,0
27,sr:player:1387507,"Jacobsen, Magnus Landin",LW,1995-08-20,Denmark,DNK,197.0,92.0,7,male,THW Kiel,1,0,30,17,0,32,0,0,2,2,3,1,0
28,sr:player:1854056,"Ehrig, Sven",RW,2000-06-26,Germany,DEU,197.0,94.0,3,male,THW Kiel,1,0,16,14,0,16,0,0,0,3,1,2,0
29,sr:player:2068829,"Wager, Philipp",LW,2000-02-14,Germany,DEU,,,22,male,THW Kiel,0,0,3,7,0,3,0,0,0,0,0,1,0
